dog,chien,Hund,perro,1
cat,chat,Katze,gato,1
mother,mere,Mutter,madre,1
father,pere,Vater,padre,1
brother,frere,Bruder,hermano,2
sister,soeur,Schwester,hermana,2
baby,bebe,Baby,bebé,2
water,eau,Wasser,agua,2
fruit,fruit,Obst,fruta,2
vegetable,legume,Gemüse,vegetal,2
read,lire,lesen,leer,3
drink,boire,trinken,beber,3
eat,manger,essen,comer,3
sit,s´assoir,sitzen,sentar,3
book,livre,Buch,libro,3
run,courrir,laufen,correr,4
glass,verre,Glas,vaso,4
shoe,chaussure,Schuh,zapato,4
dress,robe,Kleid,vestido,4
sock,chaussette,Socke,calcetín,4
sleep,dormir,schlafen,dormir,5
home/house,maison,Zuhause/Haus,casa,5
door,porte,Tür,puerta,5
window,fenêtre,Fenster,ventana,5
room,chambre,Zimmer,habitación,5
hot,chaud,heiß,caliente,5
cold,froid,kalt,frío,5
kitchen,cuisine,Küche,cocina,5
red,rouge,rot,rojo,6
yellow,jaune,gelb,amarillo,6
blue,blue/bleue,blau,azul,6
green,bert/verte,grün,verde,6
one,un,eins,uno,6
two,duex,zwei,dos,6
three,trio,drei,tres,6
play,jouer,spielen,jugar,7
family,famille,Familie,familia,7
son,fils,Sohn,hijo,7
daughter,fille,Tochter,hija,7
firend,ami(e),Freund,amigo,7
four,quatre,vier,cuatro,8
five,cinq,fünf,cinco,8
six,six,sechs,seis,8
seven,sept,sieben,siete,8
eight,huit,acht,ocho,8
nine,neuf,neun,nueve,8
ten,dix,zehn,diez,8
twenty,vingt,zwanzig,veinte,8
thirty,trente,dreißig,treinta,8
one hundred,cent,ein hundert,cien,12
one thousand,mille,eintausend,mil,12
one million,un-million,eine Million,un millón,12
car,voiture,Auto,coche,9
train station,gare,Bahnhof,estación de tren,9
train,train,Zug,tren,9
country,pays,Land,país,11
shop,magasin,Geschäft,tienda,11
bank,banque,Bank,banco,11
park,parc,Park,parque,11
moblie phone,portable,Mobiltelefon,teléfono móvil,11
computer,ordinateur,Computer,computadora,12
television,télévision,Fernsehen,tele,11
bedroom,chambre a coucher,Schlafzimmer,dormitorio,11
toliet,toilettes,Toilette,inodoro,9
bus,bus,Bus,autobús,9
plane,avion,Flugzeug,avión,9
taxi,taxi,Taxi,taxi,9
bicycle,velo,Fahrrad,bicicleta,11
city/town,ville,Stadt,ciudad,9
street,rue,Straße,calle,11
husband,mari,Ehemann,esposo,10
wife,femme,Ehefrau,esposa,10
head,tete,Kopf,cabeza,14
eye,oeil,Auge,ojo,15
mouth,bouche,Mund,boca,15
nose,nex,Nase,nariz,15
hair,cheveux,Haar,cabello,14
arm,bras,Arm,brazo,14
hand,main,Hand,mano,14
leg,jambe,Bein,pierna,14
foot,pied,Fuß,pie,14
wine,vin,Wein,vino,10
beer,berie,bier,cerveza,10
student,etudiant(e),Student,estudiante,10
doctor,medecin,Arzt,doctor,10
teacher,enseignant(e,Lehrer,maestro,10
waiter,serveir,Kellner,camarero,10
horse,cheval,Pferd,caballo,12
cow,vache,Kuh,vaca,12
chicken,poulet,Huhn,pollo,12
goat,chevre,Ziege,cabra,13
elephant,éléphant,Elefant,elefante,13
lion,lion,Löwe,león,13
bird,oiseau,Vogel,pájaro,12
fish,poisson,Fisch,pez,12
drive,conduire,fahren,conducir,12
fly,voler,fliegen,volar,11
like,aimer,mögen,gustar,11
look,regarder,schauen,mirar,12
study,étudier,lernen,estudiar,10
teach,enseigner,lehren,enseñar,11
travel,voyager,reisen,viajar,10
wake up,se réveiller,aufwachen,despertarse,12
walk,marcher,gehen,caminar,11